provider_id,provider_name,facility_id,department_id,specialty,npi_like_id,hire_date,employment_status,effective_start_date,record_source,effective_end_date,is_current,provider_sk
PRV000001,Dr. Avery Lee 1,FAC005,DEP0054,Critical Care,4386852862,2014-07-06,Leave,2014-07-06,provider_master,9999-12-31,True,81c13f3e33a66714ed41
PRV000002,Dr. Avery Kim 2,FAC001,DEP0007,Radiology,5844183768,2018-05-15,Active,2018-05-15,provider_master,9999-12-31,True,b8ff44979bd6de3690c9
PRV000003,Dr. Casey Patel 3,FAC003,DEP0027,General Surgery,5608651305,2017-02-14,Active,2017-02-14,provider_master,9999-12-31,True,8aa9450e4858db4b16a3
PRV000004,Dr. Riley Brown 4,FAC003,DEP0033,General Surgery,1850282247,2013-07-11,Leave,2013-07-11,provider_master,2026-05-23,False,51119b22306cdac40263
PRV000004,Dr. Riley Brown 4,FAC003,DEP0033,Oncology,1850282247,2013-07-11,Active,2026-05-23,status_change,9999-12-31,True,8c4c452829b195104a2b
PRV000005,Dr. Riley Smith 5,FAC006,DEP0070,Neurology,5531714194,2018-01-27,Active,2018-01-27,provider_master,2026-02-04,False,7d1eed1e27091a4c78b7
PRV000005,Dr. Riley Smith 5,FAC006,DEP0070,Critical Care,5531714194,2018-01-27,Active,2026-02-04,status_change,9999-12-31,True,bacc4207bcf56485bf2b
PRV000006,Dr. Riley Patel 6,FAC005,DEP0056,Neurology,3757531039,2015-10-15,Active,2015-10-15,provider_master,9999-12-31,True,db0cad6b7d40024afe7d
PRV000007,Dr. Morgan Garcia 7,FAC006,DEP0065,General Surgery,7422495610,2023-02-19,Active,2023-02-19,provider_master,2026-03-06,False,9663ca470c80213a1234
PRV000007,Dr. Morgan Garcia 7,FAC006,DEP0065,Radiology,7422495610,2023-02-19,Terminated,2026-03-06,department_transfer,9999-12-31,True,1ffa38c8040358f28561
PRV000008,Dr. Riley Garcia 8,FAC001,DEP0010,Emergency Medicine,3798164424,2021-10-24,Active,2021-10-24,provider_master,9999-12-31,True,0b35d6357e7799334716
PRV000009,Dr. Morgan Smith 9,FAC002,DEP0018,Emergency Medicine,6314041920,2025-04-01,Active,2025-04-01,provider_master,9999-12-31,True,fc98d5024101f8201a0c
PRV000010,Dr. Avery Garcia 10,FAC001,DEP0004,General Surgery,8643874163,2025-02-27,Leave,2025-02-27,provider_master,9999-12-31,True,b88cbe801f8ec11c6a02
PRV000011,Dr. Riley Patel 11,FAC003,DEP0031,Neurology,7659933857,2012-07-19,Leave,2012-07-19,provider_master,9999-12-31,True,540bc27f9cc2dac14e61
PRV000012,Dr. Riley Kim 12,FAC006,DEP0069,General Surgery,2230294799,2019-10-31,Active,2019-10-31,provider_master,2026-05-05,False,78a1873f8a03357380a0
PRV000012,Dr. Riley Kim 12,FAC006,DEP0069,Emergency Medicine,2230294799,2019-10-31,Leave,2026-05-05,credential_update,9999-12-31,True,2b3d05e16b22bc8f3169
PRV000013,Dr. Morgan Brown 13,FAC005,DEP0057,Oncology,7074370842,2021-05-02,Leave,2021-05-02,provider_master,9999-12-31,True,10d1ffab301d39b172fc
PRV000014,Dr. Morgan Patel 14,FAC005,DEP0058,Pediatrics,3493540942,2013-04-02,Active,2013-04-02,provider_master,2026-04-21,False,512184405aa686d261bf
PRV000014,Dr. Morgan Patel 14,FAC005,DEP0058,Internal Medicine,3493540942,2013-04-02,Terminated,2026-04-21,credential_update,9999-12-31,True,a21f52968513ae0e3fc6
PRV000015,Dr. Casey Brown 15,FAC003,DEP0033,Internal Medicine,1268232653,2019-09-01,Active,2019-09-01,provider_master,2026-03-16,False,4b66ff7a74c772c3e061
PRV000015,Dr. Casey Brown 15,FAC003,DEP0033,Neurology,1268232653,2019-09-01,Leave,2026-03-16,status_change,9999-12-31,True,b36fadee1732aa659212
PRV000016,Dr. Riley Smith 16,FAC003,DEP0026,General Surgery,3471802545,2018-11-04,Leave,2018-11-04,provider_master,2026-03-13,False,35247f10624d235fb3f3
PRV000016,Dr. Riley Smith 16,FAC003,DEP0026,Cardiology,3471802545,2018-11-04,Terminated,2026-03-13,status_change,9999-12-31,True,88f816c8ed7c5ce0702d
PRV000017,Dr. Casey Brown 17,FAC004,DEP0044,Emergency Medicine,9810406289,2017-12-14,Active,2017-12-14,provider_master,2026-02-02,False,265a312b52226ac7fda9
PRV000017,Dr. Casey Brown 17,FAC004,DEP0044,Emergency Medicine,9810406289,2017-12-14,Leave,2026-02-02,department_transfer,9999-12-31,True,e594ffeab1b9302e75df
PRV000018,Dr. Morgan Patel 18,FAC005,DEP0056,Cardiology,1936421588,2014-07-14,Active,2014-07-14,provider_master,9999-12-31,True,a5117a08d761dd74bec2
