customer_id,customer_name,customer_segment,city,region,signup_date,credit_class,autopay_flag,active_flag,_ingested_at_utc,_source_file,_source_system
CUST00000001,Alex Kim 1,Enterprise,Denver,West,2022-02-05,B,0,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000002,Jordan Garcia 2,Enterprise,Portland,West,06/20/2025,C,0,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000003,Taylor Lee 3,Small Business,Jacksonville,Southeast,11/15/2020,A,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000004,Morgan Kim 4,Government,Indianapolis,Midwest,08/28/2022,D,No,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000005,Alex Kim 5,Consumer,Nashville,Southeast,04/13/2019,a,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000006,Jordan Smith 6,Consumer,Detroit,Midwest,07/23/2022,B,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000007,Morgan Kim 7,Consumer,Denver,West,2019-10-21,C,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000008,Morgan Brown 8,Enterprise,Detroit,Midwest,02/23/2024,C,Yes,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000009,Casey Lee 9,Government,Albuquerque,Southwest,2024-07-23,B,0,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000010,Morgan Garcia 10,Consumer,Columbus,Midwest,10/24/2020,C,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000011,Alex Kim 11,Government,Jacksonville,Southeast,2022-09-20,D,Y,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000012,Casey Brown 12,Small Business,Columbus,Midwest,2020-09-11,A,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000013,Taylor Garcia 13,Consumer,Jacksonville,Southeast,2018-06-03,D,N,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000014,Taylor Smith 14,Government,Jacksonville,Southeast,01/31/2019,B,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000015,Riley Garcia 15,consumer ,Detroit,Midwest,2020-11-11,a,N,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000016,Taylor Garcia 16,Enterprise,Dallas,Southwest,05/25/2022,C,No,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000017,Riley Garcia 17,Consumer,Atlanta,Southeast,2023-07-31,a,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000018,Riley Smith 18,Consumer,Dallas,Southwest,2020-12-17,D,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000019,Alex Garcia 19,Government,Boston,Northeast,10/04/2022,A,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000020,Morgan Smith 20,Enterprise,Seattle,West,2022-10-27,D,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000021,Alex Lee 21,Small Business,Austin,Southwest,03/14/2024,A,N,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000022,Jordan Garcia 22,consumer ,Phoenix,Southwest,2026-04-25,C,Y,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000023,Jordan Kim 23,consumer ,Indianapolis,Midwest,2021-08-20,a,Y,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000024,Morgan Brown 24,Small Business,Detroit,Midwest,2021-08-11,a,Yes,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000025,Alex Smith 25,Enterprise,Denver,West,2020-04-07,B,0,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000026,Taylor Brown 26,Consumer,Seattle,West,07/13/2019,D,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000027,Alex Brown 27,Enterprise,Birmingham,Southeast,2019-04-09,a,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000028,Jordan Smith 28,Small Business,Jacksonville,Southeast,2023-03-30,a,Yes,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000029,Jordan Patel 29,Government,Austin,Southwest,2018-11-03,D,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000030,Riley Lee 30,Government,Birmingham,Southeast,05/01/2024,A,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000031,Jordan Brown 31,Small Business,Nashville,Southeast,2018-03-10,D,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000032,Jordan Lee 32,Enterprise,Albuquerque,Southwest,06/17/2025,B,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000033,Riley Garcia 33,Government,Indianapolis,Midwest,2023-05-02,D,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000034,Jordan Kim 34,consumer ,Indianapolis,Midwest,03/18/2020,A,Y,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000035,Taylor Patel 35,Government,Indianapolis,Midwest,2020-03-06,D,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000036,Morgan Patel 36,Enterprise,Philadelphia,Northeast,01/05/2024,a,Yes,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000037,Morgan Garcia 37,consumer ,Atlanta,Southeast,2021-11-07,a,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000038,Casey Lee 38,consumer ,Detroit,Midwest,01/12/2019,a,0,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000039,Alex Smith 39,Consumer,Albany,Northeast,2025-06-30,B,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000040,Riley Lee 40,Small Business,Boston,Northeast,2025-11-02,B,1,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000041,Morgan Garcia 41,consumer ,Seattle,West,2022-04-18,a,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000042,Jordan Patel 42,Small Business,Albany,Northeast,04/10/2022,D,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000043,Casey Kim 43,Small Business,Philadelphia,Northeast,2024-02-05,C,N,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000044,Morgan Kim 44,Enterprise,Atlanta,Southeast,12/13/2018,D,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000045,Jordan Garcia 45,Consumer,Phoenix,Southwest,2023-03-25,a,Yes,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000046,Morgan Brown 46,Consumer,Chicago,Midwest,08/09/2023,B,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000047,Morgan Lee 47,Government,Buffalo,Northeast,2023-05-17,B,0,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000048,Alex Patel 48,Consumer,Phoenix,Southwest,2022-07-09,D,Yes,N,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000049,Casey Garcia 49,Enterprise,Nashville,Southeast,2020-07-08,D,1,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000050,Alex Kim 50,Government,Seattle,West,2024-12-29,A,0,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000051,Casey Brown 51,Small Business,Albany,Northeast,04/13/2023,D,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000052,Casey Lee 52,consumer ,Austin,Southwest,2025-12-29,C,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000053,Morgan Kim 53,consumer ,Jacksonville,Southeast,08/22/2021,B,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000054,Taylor Kim 54,Government,Buffalo,Northeast,10/01/2022,a,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000055,Taylor Garcia 55,Small Business,Philadelphia,Northeast,2023-05-19,C,No,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000056,Morgan Brown 56,Government,Dallas,Southwest,2022-05-28,a,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000057,Jordan Patel 57,Consumer,Phoenix,Southwest,02/17/2026,A,1,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000058,Alex Lee 58,Consumer,Atlanta,Southeast,08/20/2025,C,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000059,Jordan Brown 59,Small Business,Buffalo,Northeast,2024-01-23,C,1,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000060,Casey Garcia 60,consumer ,Boston,Northeast,09/02/2025,D,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000061,Morgan Brown 61,Small Business,Austin,Southwest,2023-01-22,B,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000062,Alex Lee 62,Enterprise,Detroit,Midwest,2024-03-16,B,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000063,Taylor Patel 63,Consumer,Boston,Northeast,03/08/2024,a,Y,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000064,Casey Kim 64,Small Business,Phoenix,Southwest,2018-12-02,a,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000065,Taylor Garcia 65,Small Business,San Diego,West,2019-02-04,B,1,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000066,Taylor Garcia 66,consumer ,Albuquerque,Southwest,09/23/2021,A,N,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000067,Morgan Lee 67,Government,Indianapolis,Midwest,2021-03-02,D,1,True,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000068,Jordan Patel 68,Government,Albuquerque,Southwest,2025-08-19,B,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000069,Riley Smith 69,Small Business,Columbus,Midwest,2025-06-11,C,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000070,Morgan Brown 70,Consumer,Austin,Southwest,2019-02-18,A,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000071,Jordan Brown 71,Consumer,San Diego,West,2021-01-19,a,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000072,Casey Smith 72,Small Business,Atlanta,Southeast,09/23/2025,a,Y,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000073,Jordan Kim 73,consumer ,Albuquerque,Southwest,08/26/2020,A,No,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
CUST00000074,Taylor Lee 74,Enterprise,Albuquerque,Southwest,05/01/2018,B,Yes,Y,2026-09-11T04:28:49.990377+00:00,data/raw/master/customers.csv,customers
