subscriber_id,customer_id,device_id,plan_id,msisdn_like,start_date,subscriber_status,home_region
SUB00000001,CUST00002628,DEV0001380,PLN001,5556083384,2020-07-24,Active,Southeast
SUB00000002,CUST00002217,DEV0002484,PLN019,5557786359,2025-07-10,active ,Midwest
SUB00000003,CUST00002693,DEV0000816,PLN019,5552248201,2021-10-19,Suspended,West
SUB00000004,CUST00004213,DEV0000240,PLN011,5555708113,2022-09-05,Active,Northeast
SUB00000005,CUST00000289,DEV0000873,PLN019,5555053787,2023-01-15,Active,Midwest
SUB00000006,CUST00004161,DEV0001431,PLN008,5559903404,2025-04-29,Cancelled,Midwest
SUB00000007,CUST00003662,DEV0002007,PLN013,5553235749,2025-01-13,Active,Southwest
SUB00000008,CUST00000361,DEV0001118,PLN004,5553084434,2021-10-03,Active,West
SUB00000009,CUST00001381,DEV0000110,PLN013,5553205248,2024-08-10,active ,Midwest
SUB00000010,CUST00001193,DEV0000528,PLN019,5558546014,2023-07-28,Active,Midwest
SUB00000011,CUST00003014,DEV0000470,PLN013,5557469311,2024-12-24,Active,Southwest
SUB00000012,CUST00003920,DEV0002031,PLN009,5551171439,2026-01-03,Active,Midwest
SUB00000013,CUST00001105,DEV0001540,PLN010,5554439892,2020-11-05,Active,Southwest
SUB00000014,CUST00001210,DEV0000285,PLN020,5555619030,2020-09-01,Active,Southeast
SUB00000015,CUST00001240,DEV0000289,PLN004,5551199303,2025-03-26,Active,Northeast
SUB00000016,CUST00000797,DEV0000934,PLN010,5555147984,2022-06-20,active ,West
SUB00000017,CUST00000856,DEV0000036,PLN004,5553002829,2026-04-09,Suspended,West
SUB00000018,CUST00000276,DEV0000805,PLN013,5556900929,2020-08-09,Active,Southwest
SUB00000019,CUST00004220,DEV0000528,PLN001,5552262787,2025-03-10,Active,Northeast
SUB00000020,CUST00001876,DEV0001900,PLN004,5552958919,2024-10-26,Suspended,Southeast
SUB00000021,CUST00004461,DEV0001059,PLN005,5553189778,2022-11-02,Active,Northeast
SUB00000022,CUST00000160,DEV0000848,PLN014,5552843081,2020-04-27,Suspended,Southwest
SUB00000023,CUST00004117,DEV0001259,PLN002,5556473589,2025-10-31,active ,Midwest
SUB00000024,CUST00002178,DEV0001698,PLN018,5553691668,2023-02-12,active ,West
SUB00000025,CUST00000188,DEV0002224,PLN018,5559676699,2025-03-14,Cancelled,West
SUB00000026,CUST00000981,DEV0001236,PLN018,5554849819,2024-11-12,Active,Southeast
SUB00000027,CUST00003723,DEV0002105,PLN017,5552982302,2023-02-04,active ,West
SUB00000028,CUST00004118,DEV0001677,PLN010,5553280863,2024-04-27,Active,Midwest
SUB00000029,CUST00002275,DEV0000290,PLN013,5555909794,2020-01-07,active ,Southwest
SUB00000030,CUST00002007,DEV0000763,PLN018,5553127318,2024-10-16,Active,West
SUB00000031,CUST00003448,DEV0000813,PLN004,5554642201,2025-05-23,Suspended,Southeast
SUB00000032,CUST00002960,DEV0002239,PLN004,5551679279,2022-07-01,Cancelled,Southeast
SUB00000033,CUST00003900,DEV0001686,PLN005,5552482118,2026-01-04,Cancelled,West
SUB00000034,CUST00002051,DEV0001010,PLN009,5558940601,2021-09-21,active ,Midwest
SUB00000035,CUST00004152,DEV0001655,PLN002,5559577359,2022-07-06,Active,Northeast
SUB00000036,CUST00002076,DEV0001393,PLN013,5551813249,2024-12-31,active ,Southeast
SUB00000037,CUST00002733,DEV0001654,PLN009,5553613355,2025-12-07,Suspended,Northeast
SUB00000038,CUST00003939,DEV0002421,PLN004,5551037170,2021-12-13,Suspended,Northeast
SUB00000039,CUST00000775,DEV0001716,PLN002,5559295226,2024-12-23,Active,West
SUB00000040,CUST00000709,DEV0001825,PLN016,5552100110,2025-05-21,Cancelled,Midwest
SUB00000041,CUST00000077,DEV0002425,PLN005,5552505489,2022-01-22,Suspended,Southeast
SUB00000042,CUST00001741,DEV0000202,PLN008,5554269534,2023-04-16,active ,West
SUB00000043,CUST00002418,DEV0000669,PLN011,5551174387,2022-05-18,Cancelled,Midwest
SUB00000044,CUST00002993,DEV0001548,PLN009,5554942913,2025-05-30,Active,Midwest
SUB00000045,CUST00004451,DEV0001608,PLN015,5558446233,2021-08-27,Active,West
SUB00000046,CUST00003232,DEV0001027,PLN003,5552136833,2021-05-20,active ,Southwest
SUB00000047,CUST00000514,DEV0001587,PLN008,5558746851,2021-02-26,Cancelled,Southwest
SUB00000048,CUST00002328,DEV0000905,PLN014,5559147315,2024-05-21,Suspended,Southwest
SUB00000049,CUST00003193,DEV0001773,PLN010,5557749198,2022-08-31,Suspended,West
