customer_id,customer_name,customer_segment,city,region,signup_date,credit_class,autopay_flag,active_flag
CUST00000001,Alex Kim 1,Enterprise,Denver,West,2022-02-05,B,False,True
CUST00000002,Jordan Garcia 2,Enterprise,Portland,West,,C,False,True
CUST00000003,Taylor Lee 3,Small Business,Jacksonville,Southeast,,A,True,True
CUST00000004,Morgan Kim 4,Government,Indianapolis,Midwest,,D,False,False
CUST00000005,Alex Kim 5,Consumer,Nashville,Southeast,,A,False,True
CUST00000006,Jordan Smith 6,Consumer,Detroit,Midwest,,B,True,True
CUST00000007,Morgan Kim 7,Consumer,Denver,West,2019-10-21,C,True,True
CUST00000008,Morgan Brown 8,Enterprise,Detroit,Midwest,,C,True,True
CUST00000009,Casey Lee 9,Government,Albuquerque,Southwest,2024-07-23,B,False,False
CUST00000010,Morgan Garcia 10,Consumer,Columbus,Midwest,,C,True,True
CUST00000011,Alex Kim 11,Government,Jacksonville,Southeast,2022-09-20,D,True,False
CUST00000012,Casey Brown 12,Small Business,Columbus,Midwest,2020-09-11,A,False,True
CUST00000013,Taylor Garcia 13,Consumer,Jacksonville,Southeast,2018-06-03,D,False,False
CUST00000014,Taylor Smith 14,Government,Jacksonville,Southeast,,B,True,True
CUST00000015,Riley Garcia 15,Consumer,Detroit,Midwest,2020-11-11,A,False,True
CUST00000016,Taylor Garcia 16,Enterprise,Dallas,Southwest,,C,False,False
CUST00000017,Riley Garcia 17,Consumer,Atlanta,Southeast,2023-07-31,A,True,True
CUST00000018,Riley Smith 18,Consumer,Dallas,Southwest,2020-12-17,D,True,True
CUST00000019,Alex Garcia 19,Government,Boston,Northeast,,A,False,True
CUST00000020,Morgan Smith 20,Enterprise,Seattle,West,2022-10-27,D,False,True
CUST00000021,Alex Lee 21,Small Business,Austin,Southwest,,A,False,True
CUST00000022,Jordan Garcia 22,Consumer,Phoenix,Southwest,2026-04-25,C,True,True
CUST00000023,Jordan Kim 23,Consumer,Indianapolis,Midwest,2021-08-20,A,True,True
CUST00000024,Morgan Brown 24,Small Business,Detroit,Midwest,2021-08-11,A,True,True
CUST00000025,Alex Smith 25,Enterprise,Denver,West,2020-04-07,B,False,False
CUST00000026,Taylor Brown 26,Consumer,Seattle,West,,D,True,True
CUST00000027,Alex Brown 27,Enterprise,Birmingham,Southeast,2019-04-09,A,True,True
CUST00000028,Jordan Smith 28,Small Business,Jacksonville,Southeast,2023-03-30,A,True,True
CUST00000029,Jordan Patel 29,Government,Austin,Southwest,2018-11-03,D,False,True
CUST00000030,Riley Lee 30,Government,Birmingham,Southeast,,A,True,True
CUST00000031,Jordan Brown 31,Small Business,Nashville,Southeast,2018-03-10,D,True,True
CUST00000032,Jordan Lee 32,Enterprise,Albuquerque,Southwest,,B,False,True
CUST00000033,Riley Garcia 33,Government,Indianapolis,Midwest,2023-05-02,D,True,True
CUST00000034,Jordan Kim 34,Consumer,Indianapolis,Midwest,,A,True,True
CUST00000035,Taylor Patel 35,Government,Indianapolis,Midwest,2020-03-06,D,True,True
CUST00000036,Morgan Patel 36,Enterprise,Philadelphia,Northeast,,A,True,False
CUST00000037,Morgan Garcia 37,Consumer,Atlanta,Southeast,2021-11-07,A,False,True
CUST00000038,Casey Lee 38,Consumer,Detroit,Midwest,,A,False,True
CUST00000039,Alex Smith 39,Consumer,Albany,Northeast,2025-06-30,B,False,True
CUST00000040,Riley Lee 40,Small Business,Boston,Northeast,2025-11-02,B,True,False
CUST00000041,Morgan Garcia 41,Consumer,Seattle,West,2022-04-18,A,True,True
CUST00000042,Jordan Patel 42,Small Business,Albany,Northeast,,D,True,True
CUST00000043,Casey Kim 43,Small Business,Philadelphia,Northeast,2024-02-05,C,False,False
CUST00000044,Morgan Kim 44,Enterprise,Atlanta,Southeast,,D,False,True
CUST00000045,Jordan Garcia 45,Consumer,Phoenix,Southwest,2023-03-25,A,True,True
CUST00000046,Morgan Brown 46,Consumer,Chicago,Midwest,,B,False,True
CUST00000047,Morgan Lee 47,Government,Buffalo,Northeast,2023-05-17,B,False,True
CUST00000048,Alex Patel 48,Consumer,Phoenix,Southwest,2022-07-09,D,True,False
CUST00000049,Casey Garcia 49,Enterprise,Nashville,Southeast,2020-07-08,D,True,True
CUST00000050,Alex Kim 50,Government,Seattle,West,2024-12-29,A,False,True
CUST00000051,Casey Brown 51,Small Business,Albany,Northeast,,D,True,True
CUST00000052,Casey Lee 52,Consumer,Austin,Southwest,2025-12-29,C,False,True
CUST00000053,Morgan Kim 53,Consumer,Jacksonville,Southeast,,B,False,True
CUST00000054,Taylor Kim 54,Government,Buffalo,Northeast,,A,False,True
