customer_id,customer_name,email,city,state,region,signup_date,loyalty_tier,household_size,active_flag,customer_hash,store_transactions,store_sales,store_units,online_orders,online_sales,online_units,lifetime_sales,omnichannel_flag
CUST00000906,Jordan Brown 906,customer906@example.com,Albany,NY,Northeast,,Plus,2.0,True,925c2eefd7047e442039,4.0,13528.18,30.0,3.0,12141.630000000001,25.0,25669.81,True
CUST00000979,Jordan Smith 979,customer979@example.com,Buffalo,NY,Northeast,,Plus,2.0,True,4d22d94b5748b1858c4c,6.0,20914.21,44.0,2.0,4346.98,7.0,25261.19,True
CUST00001044,Casey Patel 1044,customer1044@example.com,Austin,TX,South,2023-01-21,Unknown,1.0,True,ed841289a1353fb4398e,5.0,20488.28,45.0,3.0,2989.37,11.0,23477.649999999998,True
CUST00000032,Casey Smith 32,customer32@example.com,Sacramento,CA,West,2022-09-25,Silver,2.0,True,e7d87ef996214d8e6e27,3.0,10689.61,22.0,5.0,10822.78,25.0,21512.39,True
CUST00000644,Alex Garcia 644,customer644@example.com,Tacoma,WA,West,2022-11-15,Plus,5.0,True,1da328be152e5ca52c0a,4.0,16752.16,43.0,1.0,4554.93,7.0,21307.09,True
CUST00000595,Morgan Smith 595,customer595@example.com,Chicago,IL,Midwest,,Unknown,,True,f1135d61acc331892082,5.0,14087.16,35.0,1.0,6339.42,12.0,20426.58,True
CUST00000601,Alex Smith 601,customer601@example.com,Savannah,GA,South,,Gold,2.0,True,20a7ddbd6751a805cab6,5.0,17856.079999999998,52.0,2.0,2132.68,9.0,19988.76,True
CUST00000764,Jordan Brown 764,customer764@example.com,Orlando,FL,South,,Gold,1.0,True,e54ee7883a297f76ffd8,2.0,4788.69,10.0,3.0,15175.21,24.0,19963.899999999998,True
CUST00000646,Jordan Smith 646,customer646@example.com,Aurora,CO,West,2021-08-16,Silver,6.0,True,f374a2c8f313eace1ff5,2.0,3794.7,8.0,4.0,16064.01,33.0,19858.71,True
CUST00001230,Jordan Garcia 1230,customer1230@example.com,Albany,NY,Northeast,,Basic,4.0,False,90305a0cc62f2038c9b1,5.0,10738.38,27.0,1.0,8754.06,11.0,19492.44,True
CUST00001274,Casey Garcia 1274,customer1274@example.com,Albany,NY,Northeast,,Silver,,True,2873147f3b49a3bdb2a0,5.0,17078.24,57.0,1.0,2209.21,7.0,19287.45,True
CUST00000793,Morgan Garcia 793,customer793@example.com,Atlanta,GA,South,,Gold,4.0,True,adb521860692b68d31f9,2.0,5101.66,8.0,5.0,14009.18,25.0,19110.84,True
CUST00001482,Riley Garcia 1482,customer1482@example.com,Buffalo,NY,Northeast,,Basic,4.0,True,595b5dcf44f8955b1ec2,2.0,9392.85,22.0,2.0,9668.79,16.0,19061.64,True
CUST00000648,Morgan Smith 648,customer648@example.com,Houston,TX,South,,Basic,,False,37f1ee03b57b73d7c83c,4.0,6961.49,24.0,4.0,11314.28,24.0,18275.77,True
CUST00001268,Riley Patel 1268,customer1268@example.com,Seattle,WA,West,,Gold,6.0,True,514476b1aa9b4a1e1311,4.0,12929.26,29.0,1.0,5331.39,8.0,18260.65,True
