customer_id,customer_name,email,city,state,region,signup_date,loyalty_tier,household_size,active_flag,customer_hash
CUST00000001,Taylor Brown 1,customer1@example.com,Aurora,CO,West,2020-08-31,Basic,,True,60f4119c74a6c3c0cd0d
CUST00000002,Casey Brown 2,customer2@example.com,Savannah,GA,South,,Plus,5.0,False,c299954bd6d3e38b986d
CUST00000003,Taylor Lee 3,customer3@example.com,Savannah,GA,South,,Unknown,4.0,True,e4229a4e6326270fc1bb
CUST00000004,Jordan Kim 4,customer4@example.com,Austin,TX,South,2025-06-07,Gold,4.0,True,b1e6442a06c59606f106
CUST00000005,Taylor Lee 5,customer5@example.com,Seattle,WA,West,2020-04-20,Gold,1.0,False,5cb7b59b20cb229f4346
CUST00000006,Jordan Garcia 6,customer6@example.com,Savannah,GA,South,,Plus,5.0,True,d2b216a02820d892fedd
CUST00000007,Casey Brown 7,customer7@example.com,Los Angeles,CA,West,,Gold,1.0,True,1003f0acf8138c5c8e02
CUST00000008,Morgan Lee 8,customer8@example.com,Orlando,FL,South,,Plus,,True,71a3787653c3cdceaa9c
CUST00000009,Morgan Patel 9,customer9@example.com,Buffalo,NY,Northeast,,Silver,,False,a9c6ba13ec995422fe03
CUST00000010,Riley Kim 10,customer10@example.com,Denver,CO,West,,Basic,3.0,True,65613d323654cf290397
CUST00000011,Taylor Patel 11,customer11@example.com,Savannah,GA,South,2023-09-01,Silver,5.0,True,561ed94c49df108322d5
CUST00000012,Alex Smith 12,customer12@example.com,Chicago,IL,Midwest,,Gold,4.0,True,da25f55ab3366452e182
CUST00000013,Casey Smith 13,customer13@example.com,Seattle,WA,West,2025-09-13,Gold,2.0,True,765be2d1dfe18454120a
CUST00000014,Jordan Patel 14,customer14@example.com,Orlando,FL,South,2025-02-10,Plus,2.0,True,6ac2c3fa3ec527d6097a
CUST00000015,Alex Patel 15,customer15@example.com,Orlando,FL,South,2025-01-06,Unknown,2.0,False,28ee926da3a6c20a017f
CUST00000016,Alex Garcia 16,customer16@example.com,Peoria,IL,Midwest,,Silver,4.0,False,dad3f5fcdc06e5de1b20
CUST00000017,Alex Garcia 17,customer17@example.com,Austin,TX,South,2024-12-28,Silver,,False,27bb2cbe68401665d024
CUST00000018,Casey Smith 18,customer18@example.com,Savannah,GA,South,2021-09-06,Unknown,3.0,True,14c5018652c3c03c3807
CUST00000019,Taylor Kim 19,customer19@example.com,Dallas,TX,South,,Silver,6.0,True,5d192626926e33ec9fc7
CUST00000020,Casey Smith 20,customer20@example.com,Peoria,IL,Midwest,,Basic,4.0,True,421c6da82ba34adeee4d
CUST00000021,Taylor Kim 21,customer21@example.com,Orlando,FL,South,2020-05-18,Silver,1.0,True,e87ccc598af8f763e0ae
CUST00000022,Morgan Kim 22,customer22@example.com,Aurora,CO,West,,Silver,,True,67800402cfe09ea18679
CUST00000023,Alex Brown 23,customer23@example.com,Sacramento,CA,West,2022-06-02,Gold,,True,25579e3319425711ecf1
CUST00000024,Morgan Kim 24,customer24@example.com,Seattle,WA,West,,Gold,5.0,True,01fb4ded583b415833af
CUST00000025,Jordan Kim 25,customer25@example.com,Dallas,TX,South,,Gold,2.0,True,8604241ae0e783d17e6d
CUST00000026,Riley Smith 26,customer26@example.com,Denver,CO,West,,Gold,1.0,False,c2580b11c3683a5647eb
CUST00000027,Riley Patel 27,customer27@example.com,Atlanta,GA,South,,Basic,4.0,False,d8f4005fe90151d7acf6
CUST00000028,Morgan Kim 28,customer28@example.com,Miami,FL,South,2026-02-16,Gold,2.0,True,ee907ae9a7066fd0e0ae
CUST00000029,Taylor Garcia 29,customer29@example.com,Savannah,GA,South,,Unknown,,True,6f4071199ae603dc456e
CUST00000030,Alex Garcia 30,customer30@example.com,Denver,CO,West,,Silver,5.0,True,ab810e5ab511c7722c9e
CUST00000031,Alex Brown 31,customer31@example.com,Atlanta,GA,South,,Unknown,1.0,True,731d568e972cda0c1fac
CUST00000032,Casey Smith 32,customer32@example.com,Sacramento,CA,West,2022-09-25,Silver,2.0,True,e7d87ef996214d8e6e27
CUST00000033,Jordan Patel 33,customer33@example.com,Los Angeles,CA,West,2025-04-08,Unknown,6.0,True,5485556bb3bd033578b3
CUST00000034,Riley Kim 34,customer34@example.com,Austin,TX,South,,Silver,,False,5b1502a254895f2734b5
CUST00000035,Taylor Lee 35,customer35@example.com,Denver,CO,West,,Gold,1.0,True,7969de77f336708f9b26
CUST00000036,Jordan Brown 36,customer36@example.com,Seattle,WA,West,,Gold,,False,56de7df1ac5fd6da7289
CUST00000037,Jordan Patel 37,customer37@example.com,Denver,CO,West,,Unknown,1.0,True,94baf0f71c4cf4dbba6b
CUST00000038,Taylor Smith 38,customer38@example.com,Austin,TX,South,,Gold,3.0,False,099ba62e4abfecf6763c
CUST00000039,Jordan Kim 39,customer39@example.com,Aurora,CO,West,,Silver,5.0,True,65064b275e918edbfa4f
CUST00000040,Morgan Brown 40,customer40@example.com,Buffalo,NY,Northeast,2023-07-15,Gold,,True,0c1dffaf15245f695cf6
CUST00000041,Casey Smith 41,customer41@example.com,Los Angeles,CA,West,2023-10-08,Gold,,True,694fcf1d2b6d85260547
CUST00000042,Jordan Smith 42,customer42@example.com,Houston,TX,South,,Gold,2.0,True,88557db67fee92d0f532
CUST00000043,Morgan Lee 43,customer43@example.com,Savannah,GA,South,,Silver,1.0,True,188d8466f2e563d00dde
CUST00000044,Taylor Patel 44,customer44@example.com,Houston,TX,South,2021-07-07,Basic,1.0,True,26df00c11ade090eea5d
CUST00000045,Alex Kim 45,customer45@example.com,Miami,FL,South,,Basic,4.0,True,ade61f6563d4d48112e0
CUST00000046,Casey Patel 46,customer46@example.com,Atlanta,GA,South,,Silver,5.0,False,835ffe643b7c8140b7d9
CUST00000047,Alex Patel 47,customer47@example.com,Dallas,TX,South,2022-06-14,Basic,2.0,True,eb8a0f9ba1237a822674
